ds,yhat,yhat_lower,yhat_upper,Type
2023-02-06,4764.742628265315,-935.6515310063011,9793.75960063291,Past
2023-02-07,4616.974585663208,-331.7693735929514,9615.307834383071,Past
2023-02-08,4876.043305408655,-422.3086792450448,10102.166924905292,Past
2023-02-09,4532.94126351347,-462.9334595679534,9427.27349051776,Past
2023-02-10,4824.8370892252315,-396.34149819800746,10303.04091424409,Past
2023-02-11,5024.609276308146,-175.17081683300694,10156.136127832086,Past
2023-02-12,4550.893452724932,-430.7976561308916,9585.59025855146,Past
2023-02-13,5576.955461233527,428.226103368132,10715.878085564122,Past
2023-02-14,5472.134121282902,768.0392191258749,10813.625639510632,Past
2023-02-15,5757.372858095046,855.1919655170494,11166.713625485296,Past
2023-02-16,5422.910605223251,383.0517992636468,10478.514110508819,Past
2023-02-17,5705.567395836017,737.0184774679514,10888.503832016839,Past
2023-02-18,5878.289563468732,554.026269554999,11380.216194619376,Past
2023-02-19,5360.198171268359,246.070564481781,10391.062357973344,Past
2023-02-20,6325.4528138532105,1060.968036165821,11636.595685635997,Past
2023-02-21,6144.674823797736,953.274461996314,11149.781026990477,Past
2023-02-22,6340.449497984971,1288.7219836854817,11363.167035984037,Past
2023-02-24,6077.318351755204,758.9141440258264,11399.321010108823,Past
2023-02-25,6132.8723832081,968.6058562059482,11135.291951851263,Past
2023-02-26,5493.378937393529,452.58242678138396,10640.472478339558,Past
2023-02-27,6335.711636367894,819.8428262049372,11421.73835997762,Past
2023-02-28,6033.236058966653,766.4393639637202,11233.254990140505,Past
2023-03-01,6111.244571981066,214.82160646978076,11052.55359236526,Past
2023-03-02,5564.5420734672825,145.92090430878554,10648.859757890412,Past
2023-03-03,5634.620706790178,455.2170827323106,10610.590449100435,Past
2023-03-04,5599.091276304342,485.3380543532242,11283.577828948808,Past
2023-03-05,4881.6178705735665,-30.641703721611567,10171.404287813391,Past
2023-03-06,5660.670754762455,468.59277414263596,10964.377506426586,Past
2023-03-07,5310.844406551476,377.3401119410363,10491.931843636292,Past
2023-03-08,5358.26302073639,-192.84364651223612,10344.775366917127,Past
2023-03-09,4798.147076659155,-249.39861366203425,9912.940471647797,Past
2023-03-10,4871.979538015532,-768.1444800592682,10448.445252524227,Past
2023-03-11,4856.939644324565,-538.2018509140385,10071.863901866856,Past
2023-03-12,4175.850755915019,-1062.6686840742834,9441.965180213774,Past
2023-03-13,5005.956969003164,9.923425058264511,10197.352680898695,Past
2023-03-14,4720.274766238409,-781.681990937613,10070.711169142956,Past
2023-03-15,4843.041153081051,-994.8782463408237,10696.817928855131,Past
2023-03-16,4367.330761610085,-867.5982688694137,9664.266789496327,Past
2023-03-17,4532.279169200053,-1132.392722777324,9819.50626202,Past
2023-03-18,4612.578894061464,-845.4873545749356,9725.413611684802,Past
2023-03-19,4028.492896561704,-800.6243877843426,9417.023881829466,Past
2023-03-20,4954.698577067606,-567.0217931825885,10185.049871992425,Past
